video_id,site,frame_id,pred_count,true_count
video_09,Pescador,19411,1,1
video_09,Pescador,19441,1,1
video_09,Pescador,19471,1,1
video_09,Pescador,19501,2,1
video_09,Pescador,19531,2,1
video_09,Pescador,19561,2,1
video_09,Pescador,19591,2,1
video_09,Pescador,19621,2,1
video_09,Pescador,19651,2,1
video_09,Pescador,19681,1,0
video_09,Pescador,19771,1,0
video_09,Pescador,19861,0,1
video_09,Pescador,19891,1,1
video_09,Pescador,19921,1,1
video_09,Pescador,19951,1,2
video_09,Pescador,19981,2,1
video_09,Pescador,20011,1,1
video_09,Pescador,20041,1,0
video_09,Pescador,20071,1,0
video_09,Pescador,20101,1,1
video_09,Pescador,20131,1,1
video_09,Pescador,20161,1,1
video_09,Pescador,20311,1,0
video_09,Pescador,20371,1,0
video_09,Pescador,20521,1,0
video_09,Pescador,20611,1,0
video_09,Pescador,20641,1,0
video_09,Pescador,20671,1,1
video_09,Pescador,20701,1,1
video_09,Pescador,20731,1,1
video_09,Pescador,20761,1,1
video_09,Pescador,20791,1,1
video_09,Pescador,20821,1,1
video_09,Pescador,20851,0,1
video_09,Pescador,20881,1,1
video_09,Pescador,20911,1,1
video_09,Pescador,20941,1,1
video_09,Pescador,20971,1,1
video_09,Pescador,21001,1,1
video_09,Pescador,21031,1,1
video_09,Pescador,21061,1,1
video_09,Pescador,21091,1,1
video_09,Pescador,21121,1,1
video_09,Pescador,21151,1,2
video_09,Pescador,21181,1,1
video_09,Pescador,21211,1,1
video_09,Pescador,21241,1,1
video_09,Pescador,21271,1,1
video_09,Pescador,21301,1,1
video_09,Pescador,21331,1,1
video_09,Pescador,21361,1,1
video_09,Pescador,21391,1,1
video_09,Pescador,21421,1,2
video_09,Pescador,21451,1,2
video_09,Pescador,21481,1,1
video_09,Pescador,21511,0,1
video_09,Pescador,21541,0,1
video_09,Pescador,21571,0,1
video_09,Pescador,21601,0,1
video_09,Pescador,21631,0,1
video_09,Pescador,21661,0,1
video_09,Pescador,21691,2,2
video_09,Pescador,21721,2,2
video_09,Pescador,21751,1,1
video_09,Pescador,21781,1,1
video_09,Pescador,21811,1,1
video_09,Pescador,21841,1,1
video_09,Pescador,21871,1,1
video_09,Pescador,21901,1,0
video_09,Pescador,21961,1,0
video_09,Pescador,22051,0,1
video_09,Pescador,22081,1,1
video_09,Pescador,23311,0,1
video_09,Pescador,23341,0,1
video_09,Pescador,23371,0,1
video_09,Pescador,23401,0,1
video_09,Pescador,23431,0,1
video_09,Pescador,23461,0,1
video_09,Pescador,23581,1,0
video_09,Pescador,23611,1,0
video_09,Pescador,23641,1,1
video_09,Pescador,23671,1,1
video_09,Pescador,23701,1,1
video_09,Pescador,23731,1,1
video_09,Pescador,26251,1,0
video_09,Pescador,26341,0,1
video_09,Pescador,26371,0,2
video_09,Pescador,26401,0,1
video_09,Pescador,26431,0,1
video_09,Pescador,26461,1,1
video_09,Pescador,26491,1,1
video_09,Pescador,26521,1,1
video_09,Pescador,26551,1,1
video_09,Pescador,26581,1,1
video_09,Pescador,26611,1,1
video_09,Pescador,26641,1,1
video_09,Pescador,26671,1,1
video_09,Pescador,26701,1,1
video_09,Pescador,26731,1,1
video_09,Pescador,26761,1,1
video_09,Pescador,26791,1,1
video_09,Pescador,26821,1,1
video_09,Pescador,26851,1,1
video_09,Pescador,26881,0,1
video_09,Pescador,26911,0,1
video_09,Pescador,27391,0,1
video_09,Pescador,27421,0,1
video_09,Pescador,27451,0,1
video_09,Pescador,27481,0,1
video_09,Pescador,27511,0,1
video_09,Pescador,27541,0,1
video_09,Pescador,27571,0,1
video_09,Pescador,27601,0,1
video_09,Pescador,27631,0,1
video_09,Pescador,27661,0,1
video_09,Pescador,29281,0,1
video_09,Pescador,29311,0,1
video_09,Pescador,29341,0,1
video_09,Pescador,29371,0,1
video_09,Pescador,29401,0,2
video_09,Pescador,29431,0,2
video_09,Pescador,29461,1,1
video_09,Pescador,29491,1,1
video_09,Pescador,29671,1,1
video_09,Pescador,29701,1,1
video_09,Pescador,29731,1,2
